,CustomerID,AccountBalance,LastLogin,Name,Age,Address,SuspiciousFlag,TransactionID,Amount,AnomalyScore,TransactionAmount,FraudIndicator,Category,Timestamp,MerchantID,MerchantName,Location
0,1001,9507.27205955636,2022-01-01,Customer 1001,54,Address 1001,0,787,33.670626213973335,0.0309210414925036,87.3754439319368,0,Food,2022-02-02 18:00:00,2627,Merchant 2627,Location 2627
1,1003,1715.321988918382,2022-01-03,Customer 1003,40,Address 1003,0,641,30.9802390482118,0.9615520952201028,46.04417197679019,0,Travel,2022-01-27 16:00:00,2496,Merchant 2496,Location 2496
2,1004,3101.509133840253,2022-01-04,Customer 1004,30,Address 1004,0,450,11.167088142720043,0.5258094625332785,85.08506109754073,0,Other,2022-01-19 17:00:00,2184,Merchant 2184,Location 2184
3,1004,3101.509133840253,2022-01-04,Customer 1004,30,Address 1004,0,921,45.84978420861537,0.6521879103565174,36.53471969141,0,Other,2022-02-08 08:00:00,2111,Merchant 2111,Location 2111
4,1005,5405.766913696731,2022-01-05,Customer 1005,46,Address 1005,0,599,81.80865066013159,0.6614929579114033,82.85202509457709,0,Other,2022-01-25 22:00:00,2191,Merchant 2191,Location 2191
5,1007,2957.760054296896,2022-01-07,Customer 1007,33,Address 1007,0,77,41.21158341874049,0.2178905074792401,66.15215047728688,0,Travel,2022-01-04 04:00:00,2753,Merchant 2753,Location 2753
6,1008,8303.773585052018,2022-01-08,Customer 1008,21,Address 1008,0,468,91.1696888971712,0.3267347500625877,96.0326567388867,0,Retail,2022-01-20 11:00:00,2468,Merchant 2468,Location 2468
7,1009,5359.747810190935,2022-01-09,Customer 1009,32,Address 1009,0,294,35.15145130726461,0.4012329535232043,16.92260058654751,0,Other,2022-01-13 05:00:00,2253,Merchant 2253,Location 2253
8,1009,5359.747810190935,2022-01-09,Customer 1009,32,Address 1009,0,914,96.52314248884213,0.856704244071713,94.93170387030288,0,Other,2022-02-08 01:00:00,2701,Merchant 2701,Location 2701
9,1012,2706.148887561668,2022-01-12,Customer 1012,45,Address 1012,0,102,61.65899469709107,0.2645800599183321,97.48688179907796,0,Online,2022-01-05 05:00:00,2736,Merchant 2736,Location 2736
